uid,collection_uid,name,alt_name,acronym,subdiv_ind,menu_gwn_ind
lzh-sarv-bu-kammavaca-2,lzh-sarv-vi,Bhikkhu Kammavācā (2nd),,,,
lzh-sarv-matika,lzh-sarv-vi,Mātikā,,,,
lzh-mu-bu-vb,lzh-mu-vi,Bhikkhu Vibhaṅga,,,,1
lzh-mu-bi-vb,lzh-mu-vi,Bhikkhunī Vibhaṅga,,,,1
lzh-mu-kd,lzh-mu-vi,Khandhaka,,,,1
lzh-mu-khuddakavatthu,lzh-mu-vi,Khuddakavatthu,,,,
lzh-mu-bu-pm,lzh-mu-vi,Bhikkhu Pātimokkha,,,,
lzh-mu-bi-pm,lzh-mu-vi,Bhikkhunī Pātimokkha,,,,
lzh-mu-bu-kammavaca,lzh-mu-vi,Bhikkhu Kammavācā,,,,
ot,lzh-mu-vi,Other,,,,
lzh-ka-bu-pm,lzh-oth-vi,Kāśyapīya Bhikkhu Pātimokkha,,,,
lzh-upali-bu,lzh-oth-vi, Upāliparipṛcchā (T1466),,,,
sammitiya-sastra,lzh-oth-vi,Saṁmitīya Śāstra,,,,
pariprccha,lzh-oth-vi,Upāliparipṛcchā,,,,
other-matika,lzh-oth-vi,Mātikā,,,,
gr-dg-bu-pm,gr-dg-vi,Bhikkhu Pātimokkha,,,,
gr-pm-bf13,gr-vi,Bhikkhu Pātimokkha,,,,
skt-mg-bu-pm,skt-mg-vi,Bhikkhu Pātimokkha,,,,
skt-lo-bi-nidana,skt-lo-vi,Nidāna,,,,1
skt-lo-bi-vb,skt-lo-vi,Bhikkhunī Vibhaṅga,,,,1
skt-lo-bi-pn,skt-lo-vi,Bhikkhunī Pakiṇṇaka,,,,1
skt-lo-bu-pn,skt-lo-vi,Bhikkhu Pakiṇṇaka,,,,
skt-lo-bu-pm,skt-lo-vi,Bhikkhu Pātimokkha,,,,
skt-lo-asc,skt-lo-vi,Abhisamācārika,,,,
skt-lo-mvu,skt-lo-vi,Mahāvastu,,,,
skt-sarv-bu-pm-tf11,skt-sarv-vi,Bhikkhu Pātimokkha (Turfan 11),,,,
skt-sarv-bu-pm-finot,skt-sarv-vi,Bhikkhu Pātimokkha (Finot),,,,
skt-sarv-bi-vb,skt-sarv-vi,Bhikkhunī Vibhaṅga,,,,
skt-sarv-bi-pm,skt-sarv-vi,Bhikkhunī Pātimokka,,,,
skt-sarv-bu-kammavaca,skt-sarv-vi,Bhikkhu Kammavācā,,,,
skt-sarv-bi-kammavaca,skt-sarv-vi,Bhikkhunī Kammavācā,,,,
skt-mu-kd,skt-mu-vi,Khandhaka,,,,
skt-mu-bu-pm-gbm3,skt-mu-vi,Bhikkhu Pātimokkha (Gilgit 3),,,,
skt-mu-bu-pm-gbm2,skt-mu-vi,Bhikkhu Pātimokkha (Gilgit 2),,,,
skt-mu-bu-kammavaca,skt-mu-vi,Bhikkhu Kammavācā,,,,
skt-mu-mpt-bu-pm,skt-mu-vi,Mahāvyutpatti,,,,1
skt-bu-pm-qizil,skt-oth-vi,Bhikkhu Pātimokkha (Qizil),,,,1
bo-mu-kd,bo-mu-vi,Khandhaka,,,,1
bo-mu-bu-pm,bo-mu-vi,Bhikkhu Pātimokkha,,,,1
bo-mu-bu-vb,bo-mu-vi,Bhikkhu Vibhaṅga,,,,1
bo-mu-bi-pm,bo-mu-vi,Bhikkhunī Pātimokkha,,,,1
bo-mu-bi-vb,bo-mu-vi,Bhikkhunī Vibhaṅga,,,,1
bo-mu-khuddakavatthu,bo-mu-vi,Khuddakavatthu,,,,1
bo-mu-uttaragantha,bo-mu-vi,Uttaragantha (1st),,,,1
bo-mu-uttaragantha-2,bo-mu-vi,Uttaragantha (2nd),,,,
bo-mu-bu-kammavaca,bo-mu-vi,Bhikkhu Kammavācā,,,,
#Misc Vinaya,,,,,,
lzh-sarv-vi-misc,lzh-sarv-vi,Miscellaneous,,,,1
,,,,,,
# Abhidhamma Divisions,,,,,,
ds,pi-tv-ab,Dhammasaṅgaṇī,,,,
vb,pi-tv-ab,Vibhaṅga,,,,
dt,pi-tv-ab,Dhātukathā,,,,
pp,pi-tv-ab,Puggalapaññatti,,,,
kv,pi-tv-ab,Kathāvatthu,,,,
ya,pi-tv-ab,Yamaka,,,,
patthana,pi-tv-ab,Paṭṭhāna,,,,
sangitiparyaya,lzh-sarv-ab,Saṅgītiparyāya,,,,
lzh-dharmaskandha,lzh-sarv-ab,Dharmaskandha,,,,
prajnaptisastra,lzh-sarv-ab,Prajnaptiśāstra,,,,
dhatukaya,lzh-sarv-ab,Dhātukāya,,,,
vijnanakaya,lzh-sarv-ab,Vijnānakāya,,,,
prakaranapada,lzh-sarv-ab,Prakaraṇapada,,,,
jnanaprasthana,lzh-sarv-ab,Jnānaprasthāna,,,,
mahavibhasasastra,lzh-sarv-ab,Mahāvibhāṣā Śāstra,,,,
sariputrabhidharma,lzh-dg-ab,Śāripūtrābhidharma,,,,
dhsk,skt-sarv-ab,Dharmaskandha,,,,
skt-jnanaprasthana,skt-sarv-ab,Jnānaprasthāna,,,,
