subdivision_uid,number,name
sn46,4,Nīvaraṇa Vagga
sn46,5,Cakkavatti Vagga
sn46,6,Bojjhaṅga Vagga
sn46,7,Ānāpāna Vagga
sn46,8,Nirodha Vagga
sn46,9,Gaṅgāpeyyāla Vagga
sn46,10,Appamāda Vagga
sn46,11,Balakaraṇīya Vagga
sn46,12,Esanā Vagga
sn46,13,Ogha Vagga
sn46,14,Puna Gaṅgāpeyyāla Vagga
sn46,15,Puna Appamāda Vagga
sn46,16,Puna Balakaraṇīya Vagga
sn46,17,Puna Esanā  Vagga
sn46,18,Puna Ogha Vagga
sn47,1,Ambapāli Vagga
sn47,2,Nālandā Vagga
sn47,3,Sīlaṭṭhita Vagga
sn47,4,Ananussuta Vagga
sn47,5,Amata Vagga
sn47,6,Gaṅgāpeyyāla Vagga
sn47,7,Appamāda Vagga
sn47,8,Balakaraṇīya Vagga
sn47,9,Esanā Vagga
sn47,10,Ogha Vagga
sn48,1,Suddhaka Vagga
sn48,2,Mudutara Vagga
sn48,3,Chaḷindriya Vagga
sn48,4,Sukhindriya Vagga
sn48,5,Jarā Vagga
sn48,6,Sūkarakhata Vagga
sn48,7,Sambodhi Vagga
sn48,8,Gaṅgāpeyyāla Vagga
sn48,9,Appamāda Vagga
sn48,10,Balakaraṇīya Vagga
sn48,11,Esanā Vagga
sn48,12,Ogha Vagga
sn48,13,Puna Gaṅgāpeyyāla Vagga
sn48,14,Puna Appamāda Vagga
sn48,15,Puna Balanaraṇiya Vagga
sn48,16,Puna Esanā  Vagga
sn48,17,Puna Ogha Vagga
sn49,1,Gaṅgāpeyyāla Vagga
sn49,2,Appamāda Vagga
sn49,3,Balakaraṇiya Vagga
sn49,4,Esanā Vagga
sn49,5,Ogha Vagga
sn50,1,Gaṅgāpeyyāla Vagga
sn50,2,Appamāda Vagga
sn50,3,Balakaraṇiya Vagga
sn50,4,Esanā Vagga
sn50,5,Ogha Vagga
sn50,6,Puna Gaṅgāpeyyāla Vagga
sn50,7,Puna Appamāda Vagga
sn50,8,Puna Balanaraṇiya Vagga
sn50,9,Puna Esanā  Vagga
sn50,10,Puna Ogha Vagga
sn51,1,Cāpāla Vagga
sn51,2,Pāsādakampana Vagga
sn51,3,Ayoguḷa Vagga
sn51,4,Gaṅgāpeyyāla Vagga
sn51,5,Appamāda Vagga
sn51,6,Balakaraṇiya Vagga
sn51,7,Esanā Vagga
sn51,8,Ogha Vagga
sn52,1,Rahogata Vagga
sn52,2,Sahassa Vagga
sn53,1,Gaṅgāpeyyāla Vagga
sn53,2,Appamāda Vagga
sn53,3,Balakaraṇīya Vagga
sn53,4,Esanā Vagga
sn53,5,Ogha Vagga
sn54,1,Ekadhamma Vagga
sn54,2,Ānanda  Vagga
sn55,1,Veludvāra Vagga
sn55,2,Rājakārāma Vagga
sn55,3,Sarakāni Vagga
sn55,4,Puññābhisanda  Vagga
sn55,5,Sagātha Puññābhisanda Vagga
sn55,6,Sappañña Vagga
sn55,7,Mahāpañña Vagga
sn56,1,Samādhi Vagga
sn56,2,Dhammacakkappavattana  Vagga
sn56,3,Koṭigāma Vagga
sn56,4,Siṃsapāvana Vagga
sn56,5,Papata Vagga
sn56,6,Abhisamaya Vagga
sn56,7,Paṭhama Amakadhannapeyyāla Vagga
sn56,8,Dutiya Āmakadhaññapeyyāla Vagga
sn56,9,Tatiya Āmakadhaññapeyyāla Vagga
sn56,10,Catuttha Āmakadhaññapeyyāla Vagga
sn56,11,Pañcagatipeyyāla Vagga
an1,1,Cittapariyādāna Vagga
an1,2,Nīvaraṇappahāṇa Vagga
an1,3,Akammanīya Vagga
an1,4,Adanta Vagga
an1,5,Sūka Vagga
an1,6,Pabhassara Vagga
an1,7,Viriyārambha Vagga
an1,8,Kalyāṇamitta Vagga
an1,9,Pamāda Vagga
an1,10,Ajjhattika Vagga
an1,11,Adhamma Vagga
an1,12,Anāpatti Vagga
an1,13,Ekapuggala Vagga
an1,14,Etadagga Vagga
an1,15,Aṭṭhāna Vagga
an1,16,Ekadhamma Vagga
an1,17,Pasādakaradhammā Vagga
an1,18,Acharāsaṅghāta Vagga
an1,19,Kāyagatāsati Vagga
an1,20,Amata Vagga
an2,1,Vassūpanāyikā Vagga
an2,2,Adhikaraṇa Vagga
an2,3,Bāla Vagga
an2,4,Samacitta Vagga
an2,5,Parisā Vagga
an2,6,Puggala Vagga
an2,7,Sukha Vagga
an2,8,Sanimitta Vagga
an2,9,Dhamma Vagga
an2,10,Bāla Vagga
an2,11,Āsā Vagga
an2,12,Āyācana Vagga
an2,13,Dāna Vagga
an2,14,Santhāra Vagga
an2,15,Samāpatti Vagga
an2,16,Kodha Vagga
