sutta_uid,other_sutta_uid,partial,footnote
#commented-out texts are vinaya texts that are yet not supported by correspondence.csv
mn43,ma211,,"<span class='author'>Akanuma</span> p. 165 lists SA 251 at T ii 060b as another parallel. However, SA 251 should rather be reckoned as a parallel to SN 22.127–132 at SN iii 172, since it agrees with them in having Mahakoṭṭhita ask Sāriputta only about the implications of ignorance and its opposite, not about the whole range of topics treated in MN 43 and MA 211."
mn43,up3.064,1,
mn43,up9.008,1,
mn44,ma210,,
mn44,up1.005,1,
mn45,ma174,,
mn46,ma175,,
mn46,t83,,
mn47,ma186,,
mn49,ma78,,
mn49,up3.101,1,
mn50,ma131,,
mn50,t66,,
mn50,t67,,
mn50,sht-sutta42,,
mn50,sf279,,
mn51,sht-sutta7,,
mn52,an11.16,,
mn52,ma217,,
mn52,t92,,
mn54,ma203,,
mn54,sht-sutta61,,
mn55,sht-sutta76,,
mn56,ma133,,
mn56,up4.096,1,
mn56,sf72,,
mn56,sf97,,
mn56,sf109,,
mn56,sht-sutta17,,
mn56,sf281,,
mn56,sf286,,
mn57,t1536.7e,1,
mn58,t1509.35,1,
mn58,t1521.11,1,
mn59,sn36.19,,
mn59,sa485,,
mn59,sht-sutta12,,
mn60,sf44,,
mn60,sht-sutta29,,SHT iii 966 is identified in SHT vii p. 272. | SHT iv 165.32+37 is identified in SHT vi p. 212.
mn60,sf293,,
mn61,ma14,,
mn61,t211.31,,
mn61,t212.14,,
mn61,t1442.24,,
mn61,t1509.13,1,
mn61,dq80,,
mn61,sht-sutta49,,
mn62,ea17.1,,
mn63,ma221,,
mn63,t94,,
mn63,t1509.15,,
mn64,ma205,,
mn64,up?.???,1,
mn64,sht-sutta57,,
mn65,ma194,,
mn65,ea49.7,1,
#mn65,t1425.17a,1,
mn65,sht-sutta15,,
mn66,ma192,,
mn66,ea49.7,1,"EA 49.7 is a partial parallel to M 65, as <span class='author'>Akanuma</span> p. 167 indicates. After reporting the Buddha’s instruction to Bhaddali ~(跋提婆羅) about taking only a single meal, EA 49.7 describes how Udayi (~優陀夷) once went begging at night and so startled a pregnant woman that she miscarried, a tale related also in MN 66 and MA 192. In EA 49.7 the Buddha comes to hear of this and addresses the monks on the benefit of taking a single meal, after which EA 49.7 returns to the events relating to Bhaddali. We therefore reckon EA 49.7 as a partial parallel to both MN 65 and MN 66."
#mn66,t1421.8b,1,
#mn66,t1428.14,1,
mn67,ea45.2,,
mn67,t137,,
mn68,ma77,,
mn69,ma26,,
mn70,ma195,,
mn72,sa962,,
mn72,sa-2.196,,
